series,x,y,x_uncertainty,y_uncertainty,pixel_x,pixel_y,pixel_radius,pixel_half_height,center_localization_half_width_px,support_pixels,angular_half_width_deg,evidence_status,segment_break,status,candidate_id,reviewed_by,review_decision,review_reason,evidence_segment_break,curve_topology,curve_segment,curve_order,data_id,data_provenance,topology_provenance
sound-pressure-level-directivity,0.0,63.00480282791879,0.5,0.078916195550498,150.0,322.0,177.00282483621552,2.005586417832049,0.5,21,0.75,visible_pixel_support,True,visible_candidate,polar_line-sound-pressure-level-directivity-000001,example-reviewer,accepted,,True,continuous,0,0,curve-sound-pressure-level-directivity-000001,reviewed_visible_observation,confirmed_continuous_curve
sound-pressure-level-directivity,1.0,62.853697859577714,0.5,0.078916195550498,151.0,319.0,176.0454486773231,1.9994836044668176,0.5,21,0.75,visible_pixel_support,False,visible_candidate,polar_line-sound-pressure-level-directivity-000002,example-reviewer,accepted,,False,continuous,0,1,curve-sound-pressure-level-directivity-000002,reviewed_visible_observation,confirmed_continuous_curve
sound-pressure-level-directivity,2.0,62.7175379125991,0.5,0.0789161955504909,152.0,315.0,175.18276170902203,2.430032914538401,0.5,22,0.75,visible_pixel_support,False,visible_candidate,polar_line-sound-pressure-level-directivity-000003,example-reviewer,accepted,,False,continuous,0,2,curve-sound-pressure-level-directivity-000003,reviewed_visible_observation,confirmed_continuous_curve
sound-pressure-level-directivity,3.0,62.7175379125991,0.5,0.0789161955504909,152.0,315.0,175.18276170902203,1.997913202255745,0.5,21,0.75,visible_pixel_support,False,visible_candidate,polar_line-sound-pressure-level-directivity-000004,example-reviewer,accepted,,False,continuous,0,3,curve-sound-pressure-level-directivity-000004,reviewed_visible_observation,confirmed_continuous_curve
sound-pressure-level-directivity,4.0,62.60740162767112,0.5,0.078916195550498,153.0,310.0,174.4849563716024,1.9944405541854167,0.5,21,0.75,visible_pixel_support,False,visible_candidate,polar_line-sound-pressure-level-directivity-000005,example-reviewer,accepted,,False,continuous,0,4,curve-sound-pressure-level-directivity-000005,reviewed_visible_observation,confirmed_continuous_curve
sound-pressure-level-directivity,5.0,62.504541794991816,0.5,0.078916195550498,154.0,306.0,173.83325343558406,1.990411927056229,0.5,20,0.75,visible_pixel_support,False,visible_candidate,polar_line-sound-pressure-level-directivity-000006,example-reviewer,accepted,,False,continuous,0,5,curve-sound-pressure-level-directivity-000006,reviewed_visible_observation,confirmed_continuous_curve
sound-pressure-level-directivity,6.0,62.504541794991816,0.5,0.078916195550498,154.0,306.0,173.83325343558406,1.990411927056229,0.5,20,0.75,visible_pixel_support,False,visible_candidate,polar_line-sound-pressure-level-directivity-000007,example-reviewer,accepted,,False,continuous,0,6,curve-sound-pressure-level-directivity-000007,reviewed_visible_observation,confirmed_continuous_curve
sound-pressure-level-directivity,7.0,62.41678399872747,0.5,0.0789161955504909,155.0,302.0,173.27723451163456,1.9852559649108201,0.5,20,0.75,visible_pixel_support,False,visible_candidate,polar_line-sound-pressure-level-directivity-000008,example-reviewer,accepted,,False,continuous,0,7,curve-sound-pressure-level-directivity-000008,reviewed_visible_observation,confirmed_continuous_curve
sound-pressure-level-directivity,8.0,62.367552908295565,0.5,0.0789161955504909,156.0,297.0,172.96531444194238,1.9772720584033578,0.5,20,0.75,visible_pixel_support,False,visible_candidate,polar_line-sound-pressure-level-directivity-000009,example-reviewer,accepted,,False,continuous,0,8,curve-sound-pressure-level-directivity-000009,reviewed_visible_observation,confirmed_continuous_curve
sound-pressure-level-directivity,9.0,62.367552908295565,0.5,0.0789161955504909,156.0,297.0,172.96531444194238,1.9772720584033578,0.5,20,0.75,visible_pixel_support,False,visible_candidate,polar_line-sound-pressure-level-directivity-000010,example-reviewer,accepted,,False,continuous,0,9,curve-sound-pressure-level-directivity-000010,reviewed_visible_observation,confirmed_continuous_curve
sound-pressure-level-directivity,10.0,62.31411884294383,0.5,0.0789161955504909,157.0,293.0,172.6267650163207,1.9695631249423116,0.5,19,0.75,visible_pixel_support,False,visible_candidate,polar_line-sound-pressure-level-directivity-000011,example-reviewer,accepted,,False,continuous,0,10,curve-sound-pressure-level-directivity-000011,reviewed_visible_observation,confirmed_continuous_curve
sound-pressure-level-directivity,11.0,62.24545994735517,0.5,0.0789161955504909,158.0,290.0,172.19175357722565,1.9629230522801038,0.5,19,0.75,visible_pixel_support,False,visible_candidate,polar_line-sound-pressure-level-directivity-000012,example-reviewer,accepted,,False,continuous,0,11,curve-sound-pressure-level-directivity-000012,reviewed_visible_observation,confirmed_continuous_curve
sound-pressure-level-directivity,12.0,62.185814957665514,0.5,0.078916195550498,159.0,287.0,171.81385275931623,1.955599010637016,0.5,19,0.75,visible_pixel_support,False,visible_candidate,polar_line-sound-pressure-level-directivity-000013,example-reviewer,accepted,,False,continuous,0,12,curve-sound-pressure-level-directivity-000013,reviewed_visible_observation,confirmed_continuous_curve
sound-pressure-level-directivity,13.0,62.13524346273421,0.5,0.078916195550498,160.0,284.0,171.49344010777787,1.9475895111524153,0.5,18,0.75,visible_pixel_support,False,visible_candidate,polar_line-sound-pressure-level-directivity-000014,example-reviewer,accepted,,False,continuous,0,13,curve-sound-pressure-level-directivity-000014,reviewed_visible_observation,confirmed_continuous_curve
sound-pressure-level-directivity,14.0,62.13294251320734,0.5,0.078916195550498,161.0,280.0,171.4788616710526,1.9360904118261146,0.5,18,0.75,visible_pixel_support,False,visible_candidate,polar_line-sound-pressure-level-directivity-000015,example-reviewer,accepted,,False,continuous,0,14,curve-sound-pressure-level-directivity-000015,reviewed_visible_observation,confirmed_continuous_curve
sound-pressure-level-directivity,15.0,62.13294251320734,0.5,0.078916195550498,161.0,280.0,171.4788616710526,1.9360904118261146,0.5,18,0.75,visible_pixel_support,False,visible_candidate,polar_line-sound-pressure-level-directivity-000016,example-reviewer,accepted,,False,continuous,0,15,curve-sound-pressure-level-directivity-000016,reviewed_visible_observation,confirmed_continuous_curve
sound-pressure-level-directivity,16.0,62.10347306350893,0.5,0.078916195550498,162.0,277.0,171.29214809792072,1.9265236687790122,0.5,19,0.75,visible_pixel_support,False,visible_candidate,polar_line-sound-pressure-level-directivity-000017,example-reviewer,accepted,,False,continuous,0,16,curve-sound-pressure-level-directivity-000017,reviewed_visible_observation,confirmed_continuous_curve
sound-pressure-level-directivity,17.0,62.083194169252664,0.5,0.078916195550498,163.0,274.0,171.1636643683466,1.9162838441102963,0.5,18,0.75,visible_pixel_support,False,visible_candidate,polar_line-sound-pressure-level-directivity-000018,example-reviewer,accepted,,False,continuous,0,17,curve-sound-pressure-level-directivity-000018,reviewed_visible_observation,confirmed_continuous_curve
sound-pressure-level-directivity,18.0,62.072126535556045,0.5,0.078916195550498,164.0,271.0,171.09354166653983,1.905378421556847,0.5,18,0.75,visible_pixel_support,False,visible_candidate,polar_line-sound-pressure-level-directivity-000019,example-reviewer,accepted,,False,continuous,0,18,curve-sound-pressure-level-directivity-000019,reviewed_visible_observation,confirmed_continuous_curve
