candidate_id,series,x,y,x_uncertainty,y_uncertainty,pixel_x,pixel_y,pixel_half_height,segment_break,status,provenance,evidence_note
line-mfh_0deg-0001,mfh_0deg,0.002975357658764676,20.242186558788717,0.0005219646896222931,0.5630623490098969,145.0,475.0,2.0,True,visible_candidate,image_candidate,red 可见虚线段；从连续标记线邻域移除后，仅保留满足相对位置与形状约束的连通段。 相邻短划像素间隔不超过 28px 时，按虚线样式空白归入同一数据段；更大空白仍保留为缺失区。
line-mfh_0deg-0002,mfh_0deg,0.003671310578261061,23.761326240100487,0.0005219646896222931,0.5630623490098969,149.0,462.5,2.0,False,visible_candidate,image_candidate,red 可见虚线段；从连续标记线邻域移除后，仅保留满足相对位置与形状约束的连通段。 相邻短划像素间隔不超过 28px 时，按虚线样式空白归入同一数据段；更大空白仍保留为缺失区。
line-mfh_0deg-0003,mfh_0deg,0.004454257612694499,26.752594969215508,0.0005219646896222896,0.5630623490098969,153.5,451.875,2.0,False,visible_candidate,image_candidate,red 可见虚线段；从连续标记线邻域移除后，仅保留满足相对位置与形状约束的连通段。 相邻短划像素间隔不超过 28px 时，按虚线样式空白归入同一数据段；更大空白仍保留为缺失区。
line-mfh_0deg-0004,mfh_0deg,0.006281134026372516,38.75286128248868,0.0005219646896222896,0.5630623490098827,164.0,409.25,2.0,False,visible_candidate,image_candidate,red 可见虚线段；从连续标记线邻域移除后，仅保留满足相对位置与形状约束的连通段。 相邻短划像素间隔不超过 28px 时，按虚线样式空白归入同一数据段；更大空白仍保留为缺失区。
line-mfh_0deg-0005,mfh_0deg,0.007673039865365293,45.650375057859776,0.0005219646896222931,0.5630623490098827,172.0,384.75,2.0,False,visible_candidate,image_candidate,red 可见虚线段；从连续标记线邻域移除后，仅保留满足相对位置与形状约束的连通段。 相邻短划像素间隔不超过 28px 时，按虚线样式空白归入同一数据段；更大空白仍保留为缺失区。
line-mfh_0deg-0006,mfh_0deg,0.008455986899798727,48.25453842203049,0.0005219646896222896,0.5630623490098827,176.5,375.5,2.0,False,visible_candidate,image_candidate,red 可见虚线段；从连续标记线邻域移除后，仅保留满足相对位置与形状约束的连通段。 相邻短划像素间隔不超过 28px 时，按虚线样式空白归入同一数据段；更大空白仍保留为缺失区。
line-mfh_0deg-0007,mfh_0deg,0.009238933934232165,54.87052102289664,0.0005219646896222931,0.5630623490098827,181.0,352.0,2.0,False,visible_candidate,image_candidate,red 可见虚线段；从连续标记线邻域移除后，仅保留满足相对位置与形状约束的连通段。 相邻短划像素间隔不超过 28px 时，按虚线样式空白归入同一数据段；更大空白仍保留为缺失区。
line-mfh_0deg-0008,mfh_0deg,0.010108875083602645,58.24889511695595,0.0005219646896222965,0.5630623490098827,186.0,340.0,2.0,False,visible_candidate,image_candidate,red 可见虚线段；从连续标记线邻域移除后，仅保留满足相对位置与形状约束的连通段。 相邻短划像素间隔不超过 28px 时，按虚线样式空白归入同一数据段；更大空白仍保留为缺失区。
line-mfh_0deg-0009,mfh_0deg,0.010804828003099034,63.809135813428554,0.0005219646896222896,0.5630623490098969,190.0,320.25,2.0,False,visible_candidate,image_candidate,red 可见虚线段；从连续标记线邻域移除后，仅保留满足相对位置与形状约束的连通段。 相邻短划像素间隔不超过 28px 时，按虚线样式空白归入同一数据段；更大空白仍保留为缺失区。
line-mfh_0deg-0010,mfh_0deg,0.011674769152469521,65.14640889232703,0.0005219646896222896,0.5630623490098827,195.0,315.5,2.0,False,visible_candidate,image_candidate,red 可见虚线段；从连续标记线邻域移除后，仅保留满足相对位置与形状约束的连通段。 相邻短划像素间隔不超过 28px 时，按虚线样式空白归入同一数据段；更大空白仍保留为缺失区。
